,NSP,RS,Sugars,Acetate,Propionate,CO2,Lactate,H2O
Rtype,S,S,S,P,P,P,X,P
halfSat,0.001,0.001,0.001,NA,NA,NA,NA,NA
yield,0.286,0.333,0.333,NA,NA,NA,NA,NA
maxGrowthRate,7.2,7.2,24,NA,NA,NA,NA,NA
stoichiom,3,3,3,2,4,2,NA,2
keyResource,Hex,,,,,,,
numPathways,2,,,,,,,
Rtype.2,X,X,X,P,P,P,S,P
halfSat.2,NA,NA,NA,NA,NA,NA,0.001,NA
yield.2,NA,NA,NA,NA,NA,NA,0.111,NA
maxGrowthRate.2,NA,NA,NA,NA,NA,NA,4.8,NA
stoichiom.2,NA,NA,NA,1,2,1,3,1
keyResource.2,Lactate,,,,,,,
pHcorners,4.75,5.5,7,7.75,,,,
